ZSKCXHXFKR CXHFKKRXZS
JXBOHIKMYWKZEPDWKYDHEEJZD HBEZEHJMXEKYWDKJPDKOZDI
ZNAXOYGAFEHMJULSQVVWSIDIDIKQVNPBNQA VDXVHQNMAYADQIELNKAWJSZFUINOQPVSI
ATNIXNGBUMDZZTPBWHDZACOUHQCKJALATKNMWWB DMTUWQBATIJAZWDOWPHTKCKNHUZZBMAXCBGAL
YXCRCTMBQLWAWYIYFMVRRGPQHUIXJWD PQGTJCMQXMLRCXAIRHWRBUCFWIYYVDY
VHIFWONHR ROWIBBVNF
HPVOPHVAJATQONUUCAPDGLVCPGR AQTPOGPHVGRALDPBBCAHUVOJVNP
LAMZMWEMNWHBLVCAUUZGYEBUGQUKRYHG MYMQGVUERCEUUWLBBUYNALKBBGMZAZHG
BDRCMWUQLSMQIKZRYRAGBAQIUXURWFOAEZP ADFMUSGARYWBLIEUAKUMIIIZQRQBWPQROZX
SBFZZHPHRNLMMFDAXBYRZZWGHCPPIWIOZSOREV PLSHHYOFVMAFZZRMZXYZIBPYWIZBGWCYSNHRRO
BVZZTJCZWTTFGRK CKBZZTGTTWRTTJZ
UXPXCNMDO NXMXPCPUO
TEDYPAAYJXWEFHCLIDNQSCRBMYQI CYBQEYLSTRIQAFAJPCXIMYDNWDEH
APJMVQIIRPNQENQPTDWDVTITOQSUODR PQUMRTPAWRTIPVQINOQNJQDIODESTDV
YKCRAXVYVCUWAUEPNXR PYWUNAKYCXVERUCVARX
MZJLRTCY CYRMLJZT
XESVATUFWUGVDXQPZYUNPZHL VUVNXXPZZQPGYUASDEUWHTLF
BAGKDBJSKKUYGCLPMSUVKHOEUTKHZZSHU OGSEYSUJAZUHKBGBMPADSKKLCKUTVKZUH
MZXYWDMREFIYABGBUWHGCEFWLPRLOZQNQ EYIGBMPQAHDOLUYXCQWBZGFZAFERWRMNL
BFQOLSYCQEXPSLXNWPC ESWXPCCBYPLLQOFNXS
VBADPZEQTCAEFQHVHEHSXXEYBSXOVMUOYSZGNILKKWGMEBJKUAKZQTP HAECMBQOSFYAVNMWJDTSKUEEQLZPZUVVGHYHXEGPKAKXXBKSBIQTEO
LIQZZJVN ZZVINJQ
DLPLGJGNVRTVFZBMYWQSHZKWEXNPPU MGHVPLRQWKPPJXBGZSVFUNWDNTZELY
OXIPXJCUGDFEVGSOERXKJGEQZVKCNSGCDKTLFUPRTXLCE DTPQCZJRXOVGCORGUKFEILXXFXEPCCSVTLGKJDKSGUNEE
JUTZTZYJEODTXEXROLZXUKGEVLEMBGYOVRIUIOYLFQWGNFHGU YOXFVGJYLIDYEBETVGLKOOEUGZHZOQTLMXFTRRJUUUIWNXEZG
HPZHZFWTXGGVJUUV TZZVUGHVPUXGHFWJ
MCYSFOZEJWZDYNANUSSXXVUNAEQ FSESAOZVANEDSJQNXMCYYNXUUWZ
SCATKMCXDUMAZIFYFSKWFLZKRLFROPHHZRUJMZSOTJ LYJAKSKAXMHFZOPCZMURIJHFMTLAWKFSFZDOZURTCR
LWTDQCWLKDZHRCMIKTTMHRHKHFU MWCLKQLTKTHFCUZMHHHDRWKIRD
VOWIAZOGTXUEEW IEUOEWVWZGTOA
TMNAGPTPQGOHMBONGQBJMLBJBUFAUPWMWZFEBWVHNJTEDLPRQJANPZLQT MEBELPMPTNLZARZDMUHGGWJJPBFNUAQVLBMHNPJTGQBNQTPWJTOAWBOQ
BNJQYYMYOSNTPHKGPMNFIHUCIVBOOTOORFIMRAQLXOQRJDLDOND SIOYVRYTFNPOMNILLLLLFQYAQDJOBNMGCJBOMOONPHLRIDDHROT
EZPTZZRIOENJKJFRXZYTRVMPYPWHNYWMIKBTBBWMLRSZIFH YFOTREBZWMZRYTZZMWZBPHHILJKSBHJMTWFYINPNEVKRRPX
UNSUBLKBCOALCSJYOXPMHWBISHQTLUPCIURRMZIAKKCAFYDMXMWM CKICNLBBUSHWFJROUMYIDLSYOYMAMUXZLTSAAHCIWMMKCPPRUBXK
UQGFMJFKVYVDFNFFPIJNXBEHYEYMCGNOCY FEGDYUPQFYCNGIFCKNJFYHMVFBNOXJEVMY
KXVTKPOPBVVTXVJLMMGMVKJYOQYFDNBURQQKSGEETQEP YVPTSGOKKFJVTQPLGVXJKENVPMDBOXERTQQMMVUEQYKB
NXVLHOYBCPTZBFFLFCPCSODZLURYMIRCWYOBFLUQSYDZIEGFKJ BZOQFKGUFPHMRYPEJYLFIYSWCNRLSIZYUFOOLVLDBCCZCBDXFT
OCPFEHDDJUUNXIKUYGIHUYHQLSMPAJDINFKYORDTNFBUKSZRXOQTSINJI DNSOAFBYCHHDNHGUTLXEUDRPYSZFQIUOMJYIFJNNRKKOSUIJTIDXKIPUQ
VGHRAMGPMZWGHRBZUZDAZABWVSVEWUKZESTXTWETI HBGARMVEDZEXZSZVVAWKTSUTWTMREIWGZZGUWAPHB
ALZCRUQYYH QHLZVYURAC
WCPVCWJWFOUPYDEVARXZSKMCECSGGYVHPVYRO VGWYSECPWVYPWOCRKEFYVGOVCJDRUSPHMAX
ZZMDDZOWFJVDPNCSPDHDBCAABIHTMOPCSOMDEKDDLXTHIOMQNOQLV DXAFDOITSODCLZMVBKOMCAEPOQNMPLCDJWDIHDMDSHZOHTBDQPZV
LCYNWXVDNJA LADWCVJPNNXY
JZJDLMIRARCMFQKOQRVVNORXNJNUUVQUEKCRQHAQYPWTBQW QJZCWAXRAQKNFVBKIWMQYNQVJMUQRCUUDVHJREPROONRLQT
LIHRKBJORBNKJCLKJKLMGRNEIV JLHMICRKBKNIEGLLBVNJRKRJKO
FRKKSVDHFPHER KKPDVSFERFHRH
ZDUINMAGYMJAMUFWLCCAKMEYJQEEBDQVIMECIMLCFHX ECIEWZDFGEUMVQUMEKJLCBMODFAAHNAJMYXMYQCLCMII
EWMUIJRXVJKRSKXRJRHMSGOWHOTYHA WEHSMRRGKUSXRRHJJJVKOTMIOYXAWH
MQZWZHZXRFOYDHSKAUUCFTAGYVNRJQSLAONHRHCFMGKZIISSKNCRSPFM SZAICROSGQUHPSNWMVTXOZMZKRHFNMUNFKFYAIKQRYSCZHCLHJRGASFD
YOMKEHVIDLKEHIQYUFOOYJOJZTTMVIQBB ITQVTHOLBZYKEOOMYMHJKIODFQUBEJVYI
SSGPGWKDTEYNBBUFKDII BTSDPDBFEINSGKIYUGKW
YEQYIWLZKYZWKVGFWRV YIEYLZFVWGWKYWRVZQK
BYICBURLNJNSXXGTHQAPYHRLIRZNLHJRQ GSUQLBXJRAXIPYABNCLJRNHHHLTZRIQYR
IDRYRZHWVITENHJOBSCTTZWCTWNMVPKSDOQQISKZXEGTQPLJDDGVJJGZX DCITVGSXWFFSKWNGVJDRLVHGQIXHKROPZSEZMPJJQJITDTQTWNZCZBTDE
QWKJYSEYJZBKXPBXZNSDOOL WLXYBSYQXJDJEZBWWSZPKNO
BOPSUFMTPBXLPECNJNGSCDIXBWKI PCDOBBPXGEIJCTKMILUNPSWWWXFS
LTHFJKVSUPXVELVJIXHAAWRHJKUDGIEUSJHNSMGYEQQMDGQRET ITUDXJYVKKETVGMAUVGRSHQGELEUSNANNNEHPQJIJMHQFWLXRD
FZUIKDKNVDARWBLRHQUUEPBTUWYPZAWLJA UZPATKVNWFRHBYUPARUJKQQQQLZIALEWWB
NMDZTGJACPX XMNCZAJGPD
JPRPDAKKECNUYHGYX RKPYDUYPNCGJHXEAK
LMTKDZNRHUGXPXIHEXRTGHFVWLDQOVH MDQURGLZGFLDROXEHIXHWTNPTVHKXV
OTVVYIYACKSXAPPGXBIENXA BVEKAPXIYOXVCAAASPTYNXGI
KLMSGBFVLR KLFLVBSRMG
QWLGJPODXEZGNUHDMGEDLUWBAXDNHLYPDRNGMFSUW LAOFYWDDNULWMGWNQGSEXGPZDJNDEPXHRDHUUMBLG
CIHMOFSRRTKVBIYNGMXELPWNWIULUXAUUSFZTHHJRUCLGCKO FNXUPUSKCAUIJTMCEOHKFRGMIBCIWULTRXZVSROUYHWNHLLG
NEPZYVPXJJSKDBHTWKRZ PZJXZKNJKVTEDBHYRSPW
HHWIJKFRLHOEOMHNCHYJ HJWYJLKEOFHHHHINORMC
RDVUKOHCGRSWHRMLJEGVYFPFCDLJLBZFBWCXOYTRRUBFEIARMRYMRYQ FYRQRLEGBROHDIRYRMJRHFLYKDMUUWRJMVXAFYGWBCCLOVCZFSTRBEP
VHTOIODL LIHOVDOT
WEOPYMUIJYMXBHFEOYWUBXVANH MNYEHEFIAPBMYOOJVHXUYUXWBW
KUTOQSESWZSQFAXWYOIHVWXKJEYYJRFDJCCNGQZPZWTUNSJHHT CPCFIVQYWJANTTTSOSZXWJQHQHWYNHOUGFKEXSESTWTZJRJYKD
HDHALTDQKPXGZJFYD TJGDXHQLLLDFAHZDP
QISRBUWFAVAUHANDQQOEUWJNWBTCYQFFWOOAHGLXUUOQXVCGN NUFAQLYWAUEQJQQHOCSGVBGGUUAUQNXWRWWFINOGBDCXOTAVH
SGXBULTDAITOMVQTVDCKFBTHPJN VTBGBNTLIVAMTDQDDDDJXOSKFUT
VAMMXOCNRZJXGURSWEVHHVZHMYLHDINB JSVBYRDHWMNCGZNHHHHOXMAVMZHXEVHU
ERZBEVNIOFDLUEIZBWBQA OQEEENIDIZZZZZLBWBRBU
XEAFJHVYTXSWYTNGQYLSYWOGUWRDSWFIAGGQUTEDQNOCPSO GATVRWQYFWGUAGSIFOHESDYAUOTWXYDPTSENQCLJXGOYWSQ
ZFRJWJKOIPSVRJXRFLIICCQXNQMZXOEFYQPBZMIFT JWICLEQNQBPFZMFIXXOCKRAAVFIRFZXYTQSMJRIPO
ELLYGDUUVEPLWIMUDKLRRKBDFIRZHENIWSOI RVLYEPKUFLLIEWIUINUMEBDORDLKDIZWHS
RHRODFXEVAUHQJUUQFNTLUSYNY NUSAJUXTYELRRHYFQVFUHDOQUN
EYIFTMBPISMB YIBSTEMPBIFM
AGGRQJJBHKOGLCLDLUQKHIO RBLGAGGIJQJQOLKHCLUHDOK
PQXIUYPYVKSXVXFWTHULIPQDBJKZHJVEVI ILPYQXVFQYISJKVPUIXWUVHXDHVZEKPTJB
KEVGQQAGXR QKVGXRRRAE
KVTNZUGCGEFCCCHSZTFVQKSWJBR CKVCTGFWGKNBVSCRSUETHCZJFQ
ZIHGSVNJIDBPFLYROFNIVVMPTOZ JDVIINMOILYHPBZFRFOSPNVZVT
ZTCDZEKAHTOSWFIJOEIZQEORFWRMHGR RZHHOFJSQWREOEZAGCTKIDFWMOTIZR
CFCQJRLYJBPGXZZPXNNPTFRVBILCWTAIHTQKYOFFTBSGXWNZT HRYOQGTNLPTGWCFNQIFPFFFZTYJWPZBXXVJZCFTSXLITBBKCN
ODEDLHTPLJEEKMWFLBQISZGSLEQEBHDWHJSGADETQZZH ZASGWFDQLLTGJTSIEHEEEQEJLHLLDLPDMZEWQSOBHDKB
WVFDSIDMFSXZNZQUHTYKSTKWLGOTJCDPTRWGNQXSBAQKMTXAWFUCZVD KWRSLVANOQHTTMUKMUYFBCXQIKJTDDCWTTWDNZFFASXGSDVSXZZPQGW
BCGQMDNVWMLWRJAIWUYXIYEW IRWYYWQNDICGWUWMJMEAVLBX
WNYLAVMZBBOXDGBQZHSLUZ MZHBOGDZNSXZLQBWLVYBUA
HXTHOCPZFKYVDIIDQLKTFXLMEGABNXCGGG ITVBHEGXKDADDDGXKLPYCTQXGFCHFGILMZ
WZARHXPMTAMHSFYJVEDQYUWMFDWWLWPFJXEMDMOJXUUYZDXFGT RYDWMMHXEWPVXUDFFFTLSXMDZAOXGAFYDQHJJZUYPMTWUJWWM
NVEEWKPVZGFTZHEAICTJSXOGMCZGPSPYUSEHAPUTJTYPNIVZ PSZUYTHMVCPPSJEIVNVOSGEKTCZAGITFPNAZJEXPHYWETGZ
KHPIYWIEPYR EKYIIWPRYPH
QNGLWHVPGB LPHBNVWQGG
CAPYRLFGFCFAHONXBOLOEB FEOYLAFXXXLRHOCBNPFOGA
OYRCTNAVFED ANEFRTDYCOVV
IFWJYQJCDKMSJWHYZUVGWRJFGBCRTLHGMLZHPFCU JMGSFRJJGZZQDLLLWFBGCTYWWULLLYHHFULIVMCHPR
RAUHEVVWSQPTEKHTZYF PZTFEUVKYHARQHSTWVE
KDWVRYLLEUBPWJBYDBLIT LYLJIYDWRLPKUTBEBWDBV
IMWFEESFTVGSULIVQM IMSFSVTWELUMEFGVQI
OSZIUXRVUDPMSNEHBTVFPHVMAUMOVEZWDHOCZDDT CAVUVHBUFPTHIZZXZVVUMODMPDSDTOSENREOHDMW
HFMOCYOOWNSATWYIHQEKGNQTZHQ HIHWTTESWQFOOZMNYNAKKKQQHCY
FIMNMUNYPGTYUUVLUZBTDRIKALDUNBAQLL YAFRZLLLDVIANUNDLGBUKLLYPMULULLITUN
KOIIIICEGWAPMKESGRSLEGQPAWBOHW ABIGSIGPEIPIGKILEIQEOHMWRSIIAK
TUJVLGQRM URGQVVVMT
RREGVYUIGOA AEOIURGVYGR
BYMDZQOGOJ OZYMJGBOQD
CJWCAEWWDDBKTYIKYKHK ICDEWKKCTKWHJYAWBYDK
